true_label,mac,ch_a,seq,len,power,unixtime,ie221_len,ie221_info,ie221,ie255_len,ie255_info,ie255,ie221_oui,ie221_fields,ie0_len,ie0_info,ie0,ie1_len,ie1_info,ie1,ie50_len,ie50_info,ie50,ie3_len,ie3_info,ie3,ie45_len,ie45_info,ie45,ie45_bitmask,ie45_flags,ie127_len,ie127_info,ie127,ie107_len,ie107_info,ie107,ie191_len,ie191_info,ie191
11,02:a8:21:b2:4e:26,1,1084,26,-24,1681285857.044843,4,"[[0, 80, 242, 8, 0, 39, 0]]",21091,0,[],0,20722,369,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[2],2,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0
11,02:a8:21:b2:4e:26,1,1085,26,-24,1681285857.065233,4,"[[0, 80, 242, 8, 0, 39, 0]]",21091,0,[],0,20722,369,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[2],2,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0
11,02:a8:21:b2:4e:26,1,1087,26,-82,1681285857.105101,4,"[[0, 80, 242, 8, 0, 39, 0]]",21091,0,[],0,20722,369,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[3],3,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0
7,ce:16:30:30:cd:48,1,3410,26,-36,1681285858.924874,0,[],0,28,"[[35, 1, 8, 8, 24, 0, 128, 32, 48, 2, 0, 13, 0, 159, 8, 0, 0, 0, 253, 255, 253, 255, 57, 28, 199, 113, 28, 7]]",1914,0,0,0,[],0,4,"[130, 132, 139, 150]",551,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[3],3,26.0,"[45, 64, 27, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",391.0,255.0,136.0,8.0,"[0, 0, 8, 4, 0, 0, 0, 64]",76.0,-1.0,-1,-1.0,-1.0,-1,-1.0
7,ce:16:30:30:cd:48,1,3412,26,-38,1681285858.980028,0,[],0,28,"[[35, 1, 8, 8, 24, 0, 128, 32, 48, 2, 0, 13, 0, 159, 8, 0, 0, 0, 253, 255, 253, 255, 57, 28, 199, 113, 28, 7]]",1914,0,0,0,[],0,4,"[130, 132, 139, 150]",551,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[3],3,26.0,"[45, 64, 27, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",391.0,255.0,136.0,8.0,"[0, 0, 8, 4, 0, 0, 0, 64]",76.0,-1.0,-1,-1.0,-1.0,-1,-1.0
4,5a:1b:05:7c:08:86,1,663,26,-16,1681285859.0,19,"[[0, 23, 242, 10, 0, 1, 4, 0, 0, 0, 0], [0, 80, 242, 8, 0, 16, 0, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",31656,0,[],0,30972,684,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,26.0,"[33, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",375.0,255.0,120.0,8.0,"[4, 0, 8, 132, 0, 0, 0, 64]",208.0,7.0,"[15, 255, 255, 255, 255, 255, 255]",1545.0,-1.0,-1,-1.0
7,4e:b9:20:70:6e:9b,1,2234,26,-30,1681285859.154806,0,[],0,28,"[[35, 1, 8, 8, 24, 0, 128, 32, 48, 2, 0, 13, 0, 159, 8, 0, 0, 0, 253, 255, 253, 255, 57, 28, 199, 113, 28, 7]]",1914,0,0,0,[],0,4,"[130, 132, 139, 150]",551,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,26.0,"[45, 64, 27, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",391.0,255.0,136.0,8.0,"[0, 0, 8, 4, 0, 0, 0, 64]",76.0,-1.0,-1,-1.0,-1.0,-1,-1.0
7,4e:b9:20:70:6e:9b,1,2236,26,-30,1681285859.209986,0,[],0,28,"[[35, 1, 8, 8, 24, 0, 128, 32, 48, 2, 0, 13, 0, 159, 8, 0, 0, 0, 253, 255, 253, 255, 57, 28, 199, 113, 28, 7]]",1914,0,0,0,[],0,4,"[130, 132, 139, 150]",551,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,26.0,"[45, 64, 27, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",391.0,255.0,136.0,8.0,"[0, 0, 8, 4, 0, 0, 0, 64]",76.0,-1.0,-1,-1.0,-1.0,-1,-1.0
7,ae:38:61:03:dd:f5,1,3461,26,-30,1681285859.269641,0,[],0,28,"[[35, 1, 8, 8, 24, 0, 128, 32, 48, 2, 0, 13, 0, 159, 8, 0, 0, 0, 253, 255, 253, 255, 57, 28, 199, 113, 28, 7]]",1914,0,0,0,[],0,4,"[130, 132, 139, 150]",551,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[2],2,26.0,"[45, 64, 27, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",391.0,255.0,136.0,8.0,"[0, 0, 8, 4, 0, 0, 0, 64]",76.0,-1.0,-1,-1.0,-1.0,-1,-1.0
25,02:00:00:00:00:00,1,3323,26,-30,1681285860.0,4,"[[0, 80, 242, 8, 0, 17, 0]]",21069,0,[],0,20722,347,0,[],0,8,"[2, 4, 11, 22, 12, 18, 24, 36]",129,4,"[48, 72, 96, 108]",324,1,[1],1,26.0,"[45, 1, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",324.0,255.0,69.0,9.0,"[1, 0, 8, 0, 0, 0, 0, 64, 128]",201.0,-1.0,-1,-1.0,-1.0,-1,-1.0
25,02:00:00:00:00:00,1,3324,26,-30,1681285860.037409,4,"[[0, 80, 242, 8, 0, 17, 0]]",21069,0,[],0,20722,347,0,[],0,8,"[2, 4, 11, 22, 12, 18, 24, 36]",129,4,"[48, 72, 96, 108]",324,1,[1],1,26.0,"[45, 1, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",324.0,255.0,69.0,9.0,"[1, 0, 8, 0, 0, 0, 0, 64, 128]",201.0,-1.0,-1,-1.0,-1.0,-1,-1.0
25,02:00:00:00:00:00,1,3325,26,-28,1681285860.078204,4,"[[0, 80, 242, 8, 0, 17, 0]]",21069,0,[],0,20722,347,0,[],0,8,"[2, 4, 11, 22, 12, 18, 24, 36]",129,4,"[48, 72, 96, 108]",324,1,[2],2,26.0,"[45, 1, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",324.0,255.0,69.0,9.0,"[1, 0, 8, 0, 0, 0, 0, 64, 128]",201.0,-1.0,-1,-1.0,-1.0,-1,-1.0
25,02:00:00:00:00:00,1,3326,26,-28,1681285860.115541,4,"[[0, 80, 242, 8, 0, 17, 0]]",21069,0,[],0,20722,347,0,[],0,8,"[2, 4, 11, 22, 12, 18, 24, 36]",129,4,"[48, 72, 96, 108]",324,1,[2],2,26.0,"[45, 1, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",324.0,255.0,69.0,9.0,"[1, 0, 8, 0, 0, 0, 0, 64, 128]",201.0,-1.0,-1,-1.0,-1.0,-1,-1.0
